PDSFD_1000_02_FDJ_20CGB01-MW,PDSFD_1000_02_YCFJ_20HLA20CP101,PDSFD_1000_02_YCFJ_20HLA20CT301,PDSFD_1000_02_YCFJ_20HLB20CT312,PDSFD_1000_02_YCFJ_20HLB20CT315,PDSFD_1000_02_YCFJ_20HLB20CT318,PDSFD_1000_02_YCFJ_20HLB20CY101A-A,PDSFD_1000_02_YCFJ_20HLB20CY101AB-A,PDSFD_1000_02_YCFJ_20HLB20ZZ101-ZT,PDSFD_1000_02_YCFJ_20HLV21CT301,PDSFD_1000_02_YCFJ_20HLV21CT302
974.0891,13.115310000000001,4.058665,54.638999999999996,54.25764,56.67361,1.396484,1.240844,78.21807,32.59349,35.75179
974.5172,13.05237,4.058665,54.638999999999996,54.25764,56.67361,1.3446040000000001,1.288147,77.63824,32.71976,35.75179
974.6243,13.11912,4.058665,54.638999999999996,54.25764,56.67361,1.379699,1.227111,77.56958,32.84604,35.75179
974.1961,13.109589999999999,4.058665,54.638999999999996,54.38475,56.67361,1.437683,1.2103270000000002,77.61536,32.84604,35.75179
973.6609,13.01994,4.058665,54.638999999999996,54.38475,56.67361,1.425476,1.256104,77.59246999999999,32.71976,35.75179
973.2327,13.04474,4.1838,54.638999999999996,54.38475,56.67361,1.471252,1.234741,77.62298,32.59349,35.75179
972.0552,13.071439999999999,4.1838,54.638999999999996,54.25764,56.67361,1.420898,1.185913,77.29491999999999,32.59349,35.75179
969.3793,13.08098,4.1838,54.638999999999996,54.25764,56.67361,1.425476,1.205749,77.24915,32.59349,35.75179
971.0919,13.03139,4.058665,54.638999999999996,54.25764,56.67361,1.44989,1.22406,77.28728000000001,32.59349,35.75179
970.5567,13.023760000000001,3.933536,54.638999999999996,54.25764,56.67361,1.419373,1.144714,77.24915,32.59349,35.75179
967.9877,12.99896,4.058665,54.638999999999996,54.38475,56.67361,1.42395,1.201172,76.85242,32.59349,35.75179
963.171,13.0619,4.058665,54.638999999999996,54.25764,56.67361,1.427002,1.239319,76.79138,32.71976,35.75179
970.5567,13.02948,3.933536,54.638999999999996,54.38475,56.67361,1.439209,1.295776,76.86768000000001,32.59349,35.75179
974.0891,13.04665,3.933536,54.638999999999996,54.38475,56.67361,1.463623,1.3430790000000001,76.76849,32.59349,35.75179
973.2327,12.99896,3.933536,54.638999999999996,54.38475,56.67361,1.420898,1.245422,76.86768000000001,32.71976,35.75179
975.0525,13.039019999999999,3.933536,54.638999999999996,54.38475,56.67361,1.419373,1.254577,76.82189,32.71976,35.75179
978.0496,13.04665,3.933536,54.638999999999996,54.38475,56.67361,1.428527,1.259155,76.84478,32.71976,35.75179
974.9454,13.082889999999999,3.933536,54.638999999999996,54.38475,56.67361,1.39038,1.243896,76.80664,32.71976,35.75179
973.7679,13.04855,3.933536,54.638999999999996,54.38475,56.546409999999995,1.384277,1.245422,76.79138,32.71976,35.75179
975.4805,13.012310000000001,4.058665,54.638999999999996,54.38475,56.67361,1.416321,1.307983,76.86004,32.71976,35.75179
976.8721,13.050460000000001,4.058665,54.638999999999996,54.38475,56.546409999999995,1.419373,1.213379,76.80664,32.59349,35.75179
