PDSFD_1000_01_NJSB_10LCA00CT301,PDSFD_1000_01_NJSB_10LCA20CP101,PDSFD_1000_01_NJSB_10LCA50CF101_2S,PDSFD_1000_01_NJSB_10LCB10AP001-A,PDSFD_1000_01_NJSB_10LCB10AP001BP-AI7,PDSFD_1000_01_NJSB_10LCB10AP001BP-AI8,PDSFD_1000_01_NJSB_10LCB10CT351,PDSFD_1000_01_NJSB_10LCB10CT353,PDSFD_1000_01_NJSB_10LCB10CT355,PDSFD_1000_01_NJSB_10LCB10CT361,PDSFD_1000_01_NJSB_10LCB10CT363,PDSFD_1000_01_NJSB_10LCB10CT364,PDSFD_1000_01_NJSB_10LCB10CT365,PDSFD_1000_01_XHSB_10PCB20CT301
32.97232,1.979187,1532.521,35.79111,53.4938,38.24997,31.76378,31.51175,32.39476,24.10369,4.228375,50.23099,42.88253,8.885508
33.09861,1.983581,1582.299,36.56387,55.2114,38.50097,31.76378,31.39193,32.2686,24.09111,4.236716,50.10416,42.88253,9.010789
33.09861,2.00122,1567.779,36.7424,55.44503,38.52081,31.76378,31.38562,32.2686,24.20437,4.128292,50.10416,42.88253,9.010789
33.2249,1.986694,1628.689,37.49313,55.67867,38.75351,31.76378,31.38562,32.2686,24.20437,4.003193,50.10416,42.88253,9.010789
33.2249,1.982178,1666.331,38.72681,55.9123,38.93814,31.76378,31.38562,32.2686,24.20437,4.165823,50.00269,42.88253,9.010789
33.2249,1.997437,1669.309,38.92365,56.14593,39.05563,31.76378,31.51175,32.39476,24.20437,4.128292,49.97733,42.88253,9.010789
33.3512,1.999939,1679.138,38.88931,56.37956,39.10217,31.88992,31.51175,32.39476,24.20437,3.978174,49.97733,42.88253,9.010789
33.3512,2.005676,1679.026,38.88931,56.6132,39.1304,31.88992,31.51175,32.39476,24.20437,3.878099,49.97733,43.00909,9.136074
33.3512,2.022461,1689.898,39.70184,57.40472,39.31427,31.88992,31.63788,32.52092,24.20437,4.003193,49.97733,43.00909,9.136074
33.3512,2.019287,1671.319,38.88702,57.5299,39.21966,32.01606,31.63788,32.52092,24.20437,4.003193,49.97733,43.00909,9.136074
33.3512,2.01831,1689.153,39.67895,57.65508,39.34021,32.14221,31.76401,32.64709,24.20437,3.903118,50.10416,43.00909,9.136074
33.3512,2.015869,1704.158,39.67895,57.78026,39.3898,32.14221,31.76401,32.64709,24.20437,3.878099,50.10416,43.03441,9.136074
