PDSFD_1000_02_FDJ_20CGB01-MW,PDSFD_1000_02_GJ_02_DT2g,PDSFD_1000_02_GJ_02_DT3g,PDSFD_1000_02_GJ_02_Tdc1gs,PDSFD_1000_02_GJ_02_Tdc1gx,PDSFD_1000_02_GJ_02_Tdc2gs,PDSFD_1000_02_GJ_02_Tdc2gx,PDSFD_1000_02_GJ_02_Tdc3gs,PDSFD_1000_02_GJ_02_Tdc3gx,PDSFD_1000_02_GJ_20LAB50CT611,PDSFD_1000_02_GJ_20LAB60CT601,PDSFD_1000_02_GJ_20LCH21ZZ101-ZT,PDSFD_1000_02_GJ_20LCH31ZZ101-ZT,PDSFD_1000_02_GSB_20LAB40CT601,PDSFD_1000_02_GS_20LAB70CT601
968.0413,54.25186,32.41433,-4.121719,6.189497,-0.6554838,4.796231,-1.276863,8.409492,207.8702,262.0366,78.92303,81.83456,175.2857,294.3647
967.1315,54.21041,32.39031,-4.154879,6.264042,-0.6638234,4.754525,-1.301648,8.418573,207.7845,261.8879,78.87115,81.04645,175.2857,294.2169
969.8075,54.13213,32.46967,-3.989506,6.342328,-0.5948591,4.614264,-1.326126,8.497927,207.7845,261.8879,79.0802,81.95276,175.2857,294.1746
970.0215,54.15056,32.49897,-3.950905,6.328451,-0.5603153,4.609975,-1.280683,8.574368,207.6344,261.8879,79.48761,82.7944,175.2857,294.2169
969.3793,54.22499,32.49929,-3.985697,6.261216,-0.5456992,4.684405,-1.194762,8.649124,207.7845,261.8879,79.26331,83.07645,175.2857,294.2169
967.8272,54.20763,32.49922,-3.940951,6.235443,-0.5509271,4.667038,-1.199194,8.591274,207.6987,261.8879,79.62799,82.77734,175.1672,294.1394
969.5934,54.1332,32.49889,-3.846761,6.235443,-0.5684904,4.592607,-1.259793,8.450994,207.7845,261.8879,79.91333,82.67495,175.2857,294.2169
969.5399,54.14768,32.54362,-3.817627,6.191189,-0.5846609,4.562836,-1.23569,8.439735,207.6987,261.8879,80.14984,81.80738,175.1995,294.2169
971.306,54.22144,32.61837,-3.831864,6.117433,-0.5999029,4.562836,-1.155118,8.514491,207.6558,262.0366,79.91333,81.92403,175.1565,294.238
971.3595,54.29555,32.60555,-3.889322,6.043317,-0.6084014,4.640563,-1.118841,8.501668,207.7845,261.9941,79.93926,81.93616,175.2857,294.3647
973.0187,54.36992,32.53017,-3.977652,5.968946,-0.6120831,4.773811,-1.114203,8.42629,207.7845,262.0791,79.9469,81.26253,175.2857,294.4069
973.2328,54.35522,32.49857,-4.033621,5.979224,-0.6189935,4.783638,-1.163608,8.389212,207.7845,262.1854,80.00945,79.936,175.4149,294.5125
972.0018,54.27689,32.49823,-4.066477,6.049966,-0.62821,4.705309,-1.251615,8.379492,207.9346,262.1854,79.71497,80.3953,175.4365,294.4492
970.6638,54.20161,32.39845,-4.000816,6.077896,-0.6035397,4.679199,-1.299382,8.32026,207.9346,262.0366,79.52576,80.65782,175.5872,294.3647
973.2328,54.12785,32.24892,-3.885896,6.084418,-0.5619259,4.679199,-1.327029,8.236274,207.9346,262.0366,78.90625,81.22572,175.6734,294.3647
975.9088,54.10161,32.1964,-3.89107,6.041024,-0.5731442,4.674017,-1.330141,8.201167,207.9131,262.0366,79.08478,82.30082,175.738,294.5125
971.9482,54.10096,32.19609,-3.96091,5.970751,-0.6128105,4.666044,-1.320042,8.192379,207.9346,262.0366,79.09088,82.32107,175.738,294.5125
968.2554,54.1014,32.15609,-4.046564,6.053444,-0.6556699,4.706858,-1.270071,8.263726,207.9346,261.8879,79.50439,82.42202,175.738,294.3647
970.0215,54.10278,32.08134,-3.932899,6.269982,-0.6050764,4.790362,-1.185212,8.40519,207.9346,261.8879,80.2475,82.72766,175.7595,294.2169
968.63,54.10342,32.04646,-3.865566,6.336868,-0.600816,4.795754,-1.522383,8.471207,207.7845,261.8241,79.98047,82.20602,175.738,294.2169
966.7032,54.10342,32.04646,-3.838774,6.27281,-0.6370971,4.732799,-1.401264,8.471207,207.7845,261.8879,80.14526,80.55347,175.738,294.2169
969.3258,54.07108,32.07924,-3.829382,6.238309,-0.601524,4.66711,-1.310402,8.50398,207.7845,261.7391,80.21087,81.4594,175.738,294.2169
971.0919,53.99346,32.15789,-3.84435,6.245187,-0.4653552,4.597594,-1.261899,8.582636,207.6344,261.7391,80.13,78.58586,175.5872,294.2169
972.2159,53.99346,32.19722,-3.861212,6.209816,-0.4038207,4.597594,-1.213541,8.587484,207.7416,261.8879,80.22614,81.82678,175.5872,294.3647
972.3765,54.07108,32.19722,-3.879969,6.132195,-0.4169205,4.66711,-1.165328,8.518525,207.7845,262.0366,79.83398,81.77077,175.5872,294.5125
973.0187,54.10342,32.15361,-3.896162,6.139074,-0.4036346,4.73462,-1.106194,8.446184,207.7845,261.9091,79.36554,81.77388,175.7165,294.5125
973.7144,54.10342,32.07886,-3.910523,6.206308,-0.3715017,4.800697,-1.03926,8.371429,207.7845,262.0366,79.19158,81.86878,175.5872,294.5125
973.5538,54.14356,32.04646,-3.909205,6.195306,-0.3929479,4.82933,-1.103143,8.374701,207.7845,262.0366,79.2572,82.38631,175.738,294.5125
972.3765,54.21439,32.04646,-3.895895,6.124476,-0.4553663,4.82933,-1.094316,8.437639,207.7845,262.0366,79.12903,82.80521,175.738,294.5125
973.5004,54.21775,32.04646,-3.917914,6.12112,-0.4869632,4.82933,-1.102482,8.471207,207.9131,262.0366,79.46167,83.42579,175.738,294.5125
970.2356,54.14399,32.04646,-3.980308,6.194877,-0.4833355,4.82933,-1.130067,8.471207,207.7845,262.0366,79.66766,83.81272,175.738,294.5125
969.5398,54.0718,32.04646,-4.014451,6.267072,-0.4773166,4.772674,-1.159051,8.471207,207.7845,261.8879,80.10864,82.95871,175.738,294.3647
968.5229,54.00151,32.04646,-4.014065,6.337358,-0.468375,4.646771,-1.189744,8.471207,207.7845,261.8879,80.24596,82.64046,175.738,294.3647
964.3484,53.95489,32.04658,-4.000211,6.386504,-0.4797677,4.565768,-1.24728,8.497425,207.6344,261.7391,80.43365,80.02129,175.738,294.2169
964.5625,53.9556,32.04692,-3.959419,6.393366,-0.5318289,4.574565,-1.3585,8.576081,207.4842,261.5904,80.13458,81.00427,175.5872,294.069
965.2582,53.98893,32.04726,-3.91561,6.367635,-0.5310382,4.583404,-1.347511,8.626042,207.4842,261.5266,80.08575,80.04235,175.5011,294.069
965.2047,54.06795,32.0476,-3.867577,6.296272,-0.4562546,4.592302,-1.165431,8.635832,207.4842,261.5904,80.10558,80.79377,175.4365,294.069
966.9174,54.10614,32.04776,-3.874939,6.26178,-0.4398202,4.630735,-0.994728,8.606706,207.4842,261.7391,79.66919,82.31798,175.3288,294.2169
965.8469,54.10614,32.04776,-3.934122,6.26178,-0.4779706,4.696797,-0.796644,8.541174,207.4842,261.5904,79.46014,81.54803,175.4365,294.2169
965.4188,54.14302,32.04776,-3.97078,6.224901,-0.5119162,4.696797,-1.226564,8.508408,207.3555,261.6116,79.1336,81.79566,175.4365,294.069
967.7737,54.21677,32.04776,-3.984915,6.151145,-0.5416569,4.630735,-1.146651,8.508408,207.4842,261.7391,79.0451,82.2123,175.4365,294.069
966.4892,54.25488,32.04776,-3.998627,6.113037,-0.5502719,4.596603,-1.088356,8.47823,207.4842,261.7391,79.10003,82.47788,175.4365,294.069
966.7032,54.25488,32.04776,-4.011886,6.113037,-0.5363042,4.596603,-1.053171,8.415794,207.4842,261.7391,79.07257,82.67487,175.4365,294.069
966.061,54.25488,32.04776,-3.984456,6.113037,-0.5328119,4.620826,-1.008028,8.40028,207.4842,261.7391,79.4876,82.87812,175.4365,294.1324
964.9906,54.25488,32.04776,-3.886743,6.113037,-0.5474135,4.686888,-0.9456876,8.465812,207.4842,261.7391,80.00336,83.05011,175.4365,294.069
968.4695,54.28381,32.04776,-3.798867,6.084109,-0.5250028,4.729828,-0.8925332,8.508408,207.4842,261.7391,79.93316,83.10279,175.4365,294.069
970.4497,54.36646,32.04776,-3.729256,6.001457,-0.4338551,4.729828,-0.8564392,8.508408,207.4842,261.7391,79.99267,80.97471,175.4365,294.1957
969.3793,54.36271,32.04758,-3.796872,6.001243,-0.4394839,4.725221,-0.900285,8.50333,207.6987,261.8879,80.22766,79.85628,175.4365,294.3647
968.6835,54.28827,32.04727,-3.976764,6.068478,-0.5242934,4.716845,-1.000125,8.4941,207.7845,261.8879,80.01251,80.70315,175.5872,294.3647
970.0215,54.25352,32.04712,-3.88773,6.099854,-0.5030666,4.712936,-0.9777224,8.489792,207.6987,261.7391,79.78057,80.95131,175.5872,294.2943
973.2863,54.25352,32.04712,-3.784044,6.099854,-0.389058,4.712936,-0.9018876,8.489792,207.6344,261.8879,79.42809,81.78624,175.5872,294.3647
973.7144,54.22694,32.047,-3.783271,6.123872,-0.3746751,4.709949,-0.9230086,8.4865,207.6344,261.8879,78.94287,81.93092,175.5872,294.5125
970.9314,54.17547,32.04678,-3.878773,6.17036,-0.4534904,4.704169,-1.03483,8.480127,207.7845,261.9835,79.01459,82.63605,175.5872,294.5125
968.6835,54.12401,32.04655,-3.961917,6.216848,-0.5323057,4.698388,-1.146652,8.473756,207.6558,261.8879,79.37927,82.89979,175.6088,294.3647
967.7737,54.13688,32.01345,-3.918039,6.238355,-0.5244557,4.732957,-1.139431,8.504502,207.6344,261.7391,79.69055,83.62267,175.6518,294.2169
968.8441,54.19263,31.95843,-3.863624,6.243207,-0.4588289,4.794426,-1.052848,8.559996,207.6344,261.7391,80.15746,83.10434,175.5872,294.2169
968.8976,54.24838,31.90341,-3.809209,6.248061,-0.393202,4.855896,-0.9662651,8.615489,207.5164,261.7391,80.51605,80.32016,175.5872,294.2169
968.2018,54.20392,31.8971,-3.86106,6.325418,-0.453416,4.865972,-0.9529036,8.625164,207.5486,261.7391,80.2597,81.13323,175.5657,294.3647
968.2554,54.14623,31.89723,-3.926945,6.412352,-0.5302505,4.869259,-0.9492127,8.628788,207.6344,261.7816,80.07813,79.49308,175.4365,294.3436
964.7766,54.08854,31.89736,-3.992831,6.499285,-0.607085,4.872547,-1.007588,8.632411,207.5271,261.7391,79.60052,81.833,175.4365,294.2169
958.1935,54.03085,31.89748,-4.058717,6.586218,-0.6839194,4.875834,-1.173168,8.636035,207.4842,261.5904,79.14124,81.26469,175.4365,293.9423
950.9684,53.97316,31.89761,-4.281075,6.673152,-0.8522813,4.879122,-1.338748,8.639658,207.3341,261.2928,78.72467,79.87971,175.4365,293.6677
946.5797,53.84337,31.83914,-4.336351,6.798673,-0.9645817,4.788925,-1.463434,8.647848,207.184,260.9953,78.63617,79.75304,175.2857,293.1819
941.1206,53.68955,31.76113,-4.333189,6.987379,-1.001535,4.667565,-1.574488,8.657561,207.0338,260.6127,78.35388,79.62138,175.2857,292.8579
933.8419,53.42392,31.68661,-4.363978,7.21969,-1.026957,4.558251,-1.684188,8.674564,206.8622,260.2301,78.29894,78.81953,175.1134,292.3519
929.4532,53.2529,31.61279,-4.401558,7.460724,-1.050073,4.451347,-2.16391,8.693027,206.4762,259.805,78.15552,78.86027,174.9842,291.865
922.2816,53.16297,31.60027,-4.442886,7.587358,-1.1159,4.405111,-1.523017,8.780812,206.2831,259.4648,78.20434,79.10163,174.6826,291.5128
913.9859,53.09124,31.60152,-4.485056,7.68831,-1.191315,4.372496,-1.861368,8.88416,205.9828,259.0609,77.92358,79.00764,174.381,290.9464
909.3296,52.95457,31.60281,-4.59368,7.797841,-1.16809,4.286894,-1.939252,8.990463,205.6825,258.6144,78.13415,78.80072,174.0795,290.5195
902.1044,52.80332,31.60411,-4.717223,7.909299,-1.122721,4.180929,-1.958665,9.097429,205.3821,258.1678,78.25012,78.85088,173.7779,290.1126
893.8088,52.72227,31.53874,-4.632613,7.951834,-1.192518,4.080904,-2.407556,9.017992,205.0818,257.8701,77.81982,77.19277,173.6271,289.5684
887.8145,52.65049,31.46456,-4.520511,7.985266,-1.277524,3.981943,-2.115123,8.913935,204.7599,257.2746,77.42004,76.99621,173.1747,289.0399
879.6259,52.57919,31.45699,-4.586471,8.01856,-1.386073,3.942086,-2.220602,8.876764,204.4381,256.9769,77.44904,77.34214,172.8731,288.5606
873.6317,52.50796,31.45821,-4.675948,8.051838,-1.497732,3.910035,-2.290241,8.848429,204.1377,256.5302,77.05993,76.03774,172.5715,288.0743
864.9079,52.30925,31.45969,-4.722934,8.335434,-1.464201,3.828278,-2.604547,8.884992,203.7515,255.9346,76.76392,76.09286,172.2698,287.5175
858.4855,52.09094,31.4612,-4.763384,8.65754,-1.408334,3.738874,-2.157721,8.93154,203.4296,255.4878,76.91345,75.65657,171.9682,286.9359
853.2939,52.00098,31.40207,-4.71576,8.738461,-1.443418,3.599806,-2.388674,8.915734,202.9789,255.041,76.38702,75.62506,171.6665,286.3383
847.3533,51.93367,31.33225,-4.652595,8.776819,-1.494553,3.451974,-2.400264,8.888925,202.6785,254.5942,76.9104,75.8519,171.3649,285.7831
