JT_KFFD_630_01_0100001_1DCSOPC_AI02154,JT_KFFD_630_01_0601212_1DCSOPC_AI01064,JT_KFFD_630_01_0603201_1DCSOPC_AI01116,JT_KFFD_630_01_0603202_1DCSOPC_AI01143,JT_KFFD_630_01_0603203_1DCSOPC_AI01144,JT_KFFD_630_01_0603205_1DCSOPC_AI01131,JT_KFFD_630_01_0603207_1DCSOPC_AI01141,JT_KFFD_630_01_0603209_1DCSOPC_AI01126,JT_KFFD_630_01_0603235_1DCSOPC_AI01129
314.285,19.88116,342.8116,1.275024,1.404724,57.97897,52.45285,55.60516,61.74635
314.7647,20.01135,342.0481,1.239967,1.405073,57.95789,52.45404,55.58826,61.63483
313.8572,19.95178,342.4412,1.244354,1.393981,57.95331,52.45688,55.61398,61.34116
313.5728,20.17743,342.1097,1.234322,1.379662,57.98532,52.45291,55.60242,61.02203
313.3329,20.30078,343.4219,1.239967,1.390305,57.97925,52.4595,55.62427,61.33118
314.3369,20.33627,338.8388,1.219921,1.373128,57.96149,52.45703,55.612,60.54339
312.3227,20.24545,338.6993,1.232323,1.359596,57.98077,52.45154,55.61417,60.74707
311.9012,20.24829,335.7615,1.224308,1.369629,57.98135,52.46805,55.62418,59.94372
311.1817,20.25385,334.465,1.219292,1.369629,57.99707,52.48502,55.64865,59.7665
311.1817,19.9532,334.1446,1.224308,1.360245,57.9888,52.4657,55.61911,59.65271
310.4695,19.74844,334.8389,1.219292,1.365242,57.98099,52.48297,55.62387,59.68628
311.6613,19.36185,334.0073,1.209278,1.345215,57.98126,52.47748,55.6235,59.62677
311.6613,19.24069,329.5574,1.209278,1.350212,57.97815,52.48807,55.63602,58.55865
311.9012,19.48239,329.8874,1.219921,1.355247,58.00189,52.48462,55.64508,58.51593
309.7499,19.70604,330.0781,1.234951,1.334534,58.00186,52.5014,55.63211,58.73413
310.6051,19.48104,329.953,1.214275,1.349602,58.00696,52.47791,55.65125,58.75092
311.9012,19.0381,331.337,1.234322,1.345215,57.98975,52.49564,55.6644,58.53271
310.9419,18.87576,328.3986,1.214275,1.330185,58.00146,52.49963,55.66779,58.14863
309.7499,18.60706,325.8209,1.238627,1.334534,58.00955,52.50012,55.66623,57.61871
310.6512,18.60294,326.8204,1.199875,1.335182,58.01337,52.48819,55.64685,57.97272
311.2726,18.84326,326.8814,1.199158,1.330185,58.01926,52.48538,55.67072,58.41675
311.4215,18.7229,327.5833,1.194229,1.329536,58.03305,52.49194,55.66171,58.55865
309.3284,18.46936,329.3839,1.194229,1.334534,58.03064,52.49249,55.67398,58.78296
310.4113,18.21918,329.6356,1.214275,1.335182,58.04239,52.49023,55.67035,59.13391
312.2428,18.34738,332.2118,1.214275,1.335182,58.035,52.49673,55.65665,59.72722
311.6032,18.51459,331.8329,1.224937,1.334534,58.02957,52.48911,55.6571,59.60236
310.4113,18.4736,330.3026,1.229324,1.369547,58.01343,52.48825,55.6683,59.41402
311.6613,18.2189,331.81,1.224937,1.375275,58.02332,52.48273,55.66278,59.84752
312.8024,17.96317,331.7566,1.234322,1.374626,58.01566,52.48499,55.65027,60.08179
311.7122,18.0061,334.3048,1.244354,1.364632,58.03064,52.48099,55.64264,60.39734
311.6032,17.87927,334.343,1.224308,1.359596,58.0177,52.46625,55.63721,59.77783
313.5728,18.12814,336.9184,1.224308,1.369629,58.02243,52.46423,55.64389,60.65238
313.5728,18.37933,335.5598,1.224308,1.369629,58.01465,52.4639,55.65738,60.36758
312.5626,18.50836,336.4029,1.270027,1.375275,58.00195,52.47037,55.638,60.43854
313.8126,18.59015,336.2568,1.234234,1.355247,58.01089,52.47635,55.64041,60.95843
315.0045,18.65265,336.6547,1.244354,1.369629,58.0011,52.46002,55.63419,60.73914
316.1455,18.61023,337.144,1.244354,1.350212,58.01999,52.47479,55.64578,60.54448
317.1558,18.3566,336.7735,1.244984,1.361057,58.00153,52.47571,55.6308,60.9314
316.0147,18.39386,337.0972,1.249371,1.354599,57.98724,52.46768,55.62408,60.58807
316.1455,18.53299,336.38,1.249371,1.394691,57.99796,52.46756,55.63821,60.51483
315.0045,18.45041,336.3146,1.249371,1.354599,57.96088,52.45135,55.62668,60.74938
316.1455,18.39941,336.5326,1.254349,1.360245,57.98798,52.44046,55.62192,60.27527
316.1445,18.2778,336.3255,1.244354,1.384659,57.98428,52.44476,55.62189,60.59614
316.1185,18.27789,336.5936,1.239967,1.340179,57.98019,52.44064,55.62216,60.9702
